POS,PLAYER,GP,G,A,P,+/-,PIM
C,M.Granlund,MIN,2,1,1,2,2,2
LW,Z.Parise,MIN,2,1,1,2,2,0
RW,P.Laine,WPG,2,0,2,2,1,0
C,P.Stastny,WPG,2,1,0,1,2,0
D,J.Spurgeon,MIN,2,1,0,1,2,0
D,J.Morissey,WPG,2,1,0,1,-2,0
LW,M.Perreault,WPG,2,1,0,1,-1,0
C,C.Coyle,MIN,2,1,0,1,1,0
RW,N.Ehlers,WPG,2,0,1,1,2,0
C,M.Cullen,MIN,2,0,1,1,1,0
C,B.Little,WPG,2,0,1,1,-2,0
LW,D.Winnik,MIN,2,0,1,1,0,0
D,N.Prosser,MIN,2,0,1,1,0,0

D,T.Enstrom,WPG,2,0,0,0,1,0
D,D.Byfuglien,WPG,2,0,0,0,0,0
RW,B.Wheeler,WPG,2,0,0,0,-2,0
D,T.Myers,WPG,2,0,0,0,0,0
D,D.Kulikov,WPG,2,0,0,0,-2,0
C,A.Lowry,WPG,2,0,0,0,0,0
RW,J.Armia,WPG,2,0,0,0,-1,0
C,M.Scheifele,WPG,2,0,0,0,-3,0

D,R.Suter,MIN,2,0,0,0,2,0
C,M.Koivu,MIN,2,0,0,0,2,0
C,E.Staal,MIN,2,0,0,0,-1,0
RW,N.Niederreiter,MIN,2,0,0,0,0,0
C,A.Copp,WPG,2,0,0,0,-2,0
LW,M.Foligno,MIN,2,0,0,0,1,0
LW,K.Connor,WPG,2,0,0,0,-2,2
D,J.Brodin,MIN,2,0,0,0,1,0
D,J.Trouba,WPG,2,0,0,0,-3,0
LW,J.Zucker,MIN,2,0,0,0,0,0
D,G.Olofsson,MIN,2,0,0,0,0,0
C,J.Eriksson Ek,MIN,2,0,0,0,-1,2